observation_date,PERMIT
2000-01-01,1727
2000-02-01,1692
2000-03-01,1651
2000-04-01,1597
2000-05-01,1543
2000-06-01,1572
2000-07-01,1542
2000-08-01,1552
2000-09-01,1570
2000-10-01,1577
2000-11-01,1614
2000-12-01,1543
2001-01-01,1699
2001-02-01,1656
2001-03-01,1659
2001-04-01,1666
2001-05-01,1665
2001-06-01,1626
2001-07-01,1598
2001-08-01,1615
2001-09-01,1565
2001-10-01,1566
2001-11-01,1651
2001-12-01,1680
2002-01-01,1665
2002-02-01,1787
2002-03-01,1691
2002-04-01,1669
2002-05-01,1716
2002-06-01,1758
2002-07-01,1738
2002-08-01,1695
2002-09-01,1803
2002-10-01,1799
2002-11-01,1771
2002-12-01,1896
2003-01-01,1808
2003-02-01,1854
2003-03-01,1757
2003-04-01,1803
2003-05-01,1835
2003-06-01,1875
2003-07-01,1885
2003-08-01,1966
2003-09-01,1961
2003-10-01,2012
2003-11-01,1918
2003-12-01,1987
2004-01-01,1952
2004-02-01,1966
2004-03-01,2066
2004-04-01,2070
2004-05-01,2150
2004-06-01,2020
2004-07-01,2112
2004-08-01,2056
2004-09-01,2041
2004-10-01,2097
2004-11-01,2079
2004-12-01,2082
2005-01-01,2139
2005-02-01,2114
2005-03-01,2062
2005-04-01,2150
2005-05-01,2085
2005-06-01,2178
2005-07-01,2203
2005-08-01,2219
2005-09-01,2263
2005-10-01,2170
2005-11-01,2218
2005-12-01,2120
2006-01-01,2212
2006-02-01,2141
2006-03-01,2118
2006-04-01,1998
2006-05-01,1905
2006-06-01,1867
2006-07-01,1763
2006-08-01,1722
2006-09-01,1655
2006-10-01,1570
2006-11-01,1535
2006-12-01,1638
2007-01-01,1626
2007-02-01,1598
2007-03-01,1596
2007-04-01,1470
2007-05-01,1493
2007-06-01,1407
2007-07-01,1361
2007-08-01,1321
2007-09-01,1261
2007-10-01,1192
2007-11-01,1224
2007-12-01,1149
2008-01-01,1094
2008-02-01,1014
2008-03-01,967
2008-04-01,1008
2008-05-01,995
2008-06-01,1180
2008-07-01,921
2008-08-01,858
2008-09-01,797
2008-10-01,736
2008-11-01,626
